id_stat,nom_region,nom_espece,date_plantation,superficie,pluviometrie,temperature_min,temperature_max,taux_survie_plants,rendement_moyen,annee
1,Abidjan,Cacao,2023-04-26,311.35,221.88,23.68,27.66,81.44,9.4,2019
1,Abidjan,Cacao,2023-08-20,141.35,221.88,23.68,27.66,81.44,9.4,2019
1,Abidjan,Cacao,2024-03-27,301.74,221.88,23.68,27.66,81.44,9.4,2019
2,Abidjan,Café,2019-06-26,114.35,92.11,23.94,34.81,75.21,6.29,2019
2,Abidjan,Café,2019-12-01,253.65,92.11,23.94,34.81,75.21,6.29,2019
2,Abidjan,Café,2019-12-22,99.87,92.11,23.94,34.81,75.21,6.29,2019
2,Abidjan,Café,2020-04-11,153.86,92.11,23.94,34.81,75.21,6.29,2019
2,Abidjan,Café,2020-08-12,147.66,92.11,23.94,34.81,75.21,6.29,2019
2,Abidjan,Café,2020-10-14,118.83,92.11,23.94,34.81,75.21,6.29,2019
2,Abidjan,Café,2021-03-25,264.23,92.11,23.94,34.81,75.21,6.29,2019
2,Abidjan,Café,2021-05-17,483.16,92.11,23.94,34.81,75.21,6.29,2019
2,Abidjan,Café,2023-04-11,65.6,92.11,23.94,34.81,75.21,6.29,2019
3,Abidjan,Palmier à huile,2020-03-22,455.14,477.96,18.14,38.33,64.15,1.38,2019
3,Abidjan,Palmier à huile,2020-07-21,302.45,477.96,18.14,38.33,64.15,1.38,2019
3,Abidjan,Palmier à huile,2022-08-01,410.44,477.96,18.14,38.33,64.15,1.38,2019
4,Abidjan,Hévéa,2019-04-24,328.32,185.08,15.15,38.92,63.89,6.0,2019
4,Abidjan,Hévéa,2021-08-17,68.22,185.08,15.15,38.92,63.89,6.0,2019
4,Abidjan,Hévéa,2021-09-22,360.15,185.08,15.15,38.92,63.89,6.0,2019
4,Abidjan,Hévéa,2022-02-08,22.92,185.08,15.15,38.92,63.89,6.0,2019
4,Abidjan,Hévéa,2022-03-14,420.78,185.08,15.15,38.92,63.89,6.0,2019
4,Abidjan,Hévéa,2023-06-13,342.01,185.08,15.15,38.92,63.89,6.0,2019
4,Abidjan,Hévéa,2023-06-29,101.39,185.08,15.15,38.92,63.89,6.0,2019
5,Abidjan,Anacardier,2019-08-21,309.2,167.26,15.26,25.36,77.6,5.79,2019
5,Abidjan,Anacardier,2019-11-11,154.28,167.26,15.26,25.36,77.6,5.79,2019
5,Abidjan,Anacardier,2020-01-08,198.11,167.26,15.26,25.36,77.6,5.79,2019
5,Abidjan,Anacardier,2023-07-03,318.18,167.26,15.26,25.36,77.6,5.79,2019
6,Abidjan,Goyave,2021-01-15,194.87,353.24,15.32,39.04,88.22,2.18,2019
6,Abidjan,Goyave,2021-05-21,19.66,353.24,15.32,39.04,88.22,2.18,2019
6,Abidjan,Goyave,2021-11-01,157.68,353.24,15.32,39.04,88.22,2.18,2019
6,Abidjan,Goyave,2022-05-24,326.5,353.24,15.32,39.04,88.22,2.18,2019
6,Abidjan,Goyave,2022-09-13,127.67,353.24,15.32,39.04,88.22,2.18,2019
6,Abidjan,Goyave,2023-05-03,464.03,353.24,15.32,39.04,88.22,2.18,2019
6,Abidjan,Goyave,2024-02-15,131.2,353.24,15.32,39.04,88.22,2.18,2019
7,Abidjan,Papaye,2020-08-02,469.79,231.34,24.81,32.25,67.8,5.07,2019
7,Abidjan,Papaye,2020-09-14,54.24,231.34,24.81,32.25,67.8,5.07,2019
