id_stat,nom_region,nom_espece,date_plantation,superficie,pluviometrie,temperature_min,temperature_max,taux_survie_plants,rendement_moyen,annee,temperature_moyenne,mois_plantation,année,log_pluviometrie,pluviometrie_cleaned
1,Abidjan,Cacao,2023-04-26,311.35,221.88,23.68,27.66,81.44,9.4,2019,25.67,4,2023,5.4066335100314955,221.88
1,Abidjan,Cacao,2023-08-20,141.35,221.88,23.68,27.66,81.44,9.4,2019,25.67,8,2023,5.4066335100314955,221.88
1,Abidjan,Cacao,2024-03-27,301.74,221.88,23.68,27.66,81.44,9.4,2019,25.67,3,2024,5.4066335100314955,221.88
2,Abidjan,Café,2019-06-26,114.35,92.11,23.94,34.81,75.21,6.29,2019,29.375,6,2019,4.533781589900438,92.11
2,Abidjan,Café,2019-12-01,253.65,92.11,23.94,34.81,75.21,6.29,2019,29.375,12,2019,4.533781589900438,92.11
2,Abidjan,Café,2019-12-22,99.87,92.11,23.94,34.81,75.21,6.29,2019,29.375,12,2019,4.533781589900438,92.11
2,Abidjan,Café,2020-04-11,153.86,92.11,23.94,34.81,75.21,6.29,2019,29.375,4,2020,4.533781589900438,203.48000000000002
2,Abidjan,Café,2020-08-12,147.66,92.11,23.94,34.81,75.21,6.29,2019,29.375,8,2020,4.533781589900438,92.11
2,Abidjan,Café,2020-10-14,118.83,92.11,23.94,34.81,75.21,6.29,2019,29.375,10,2020,4.533781589900438,92.11
2,Abidjan,Café,2021-03-25,264.23,92.11,23.94,34.81,75.21,6.29,2019,29.375,3,2021,4.533781589900438,92.11
2,Abidjan,Café,2021-05-17,483.16,92.11,23.94,34.81,75.21,6.29,2019,29.375,5,2021,4.533781589900438,353.24
2,Abidjan,Café,2023-04-11,65.6,92.11,23.94,34.81,75.21,6.29,2019,29.375,4,2023,4.533781589900438,203.48000000000002
3,Abidjan,Palmier à huile,2020-03-22,455.14,477.96,18.14,38.33,64.15,1.38,2019,28.235,3,2020,6.171617086617097,477.96
3,Abidjan,Palmier à huile,2020-07-21,302.45,477.96,18.14,38.33,64.15,1.38,2019,28.235,7,2020,6.171617086617097,477.96
3,Abidjan,Palmier à huile,2022-08-01,410.44,477.96,18.14,38.33,64.15,1.38,2019,28.235,8,2022,6.171617086617097,477.96
4,Abidjan,Hévéa,2019-04-24,328.32,185.08,15.15,38.92,63.89,6.0,2019,27.035,4,2019,5.226176688770354,185.08
4,Abidjan,Hévéa,2021-08-17,68.22,185.08,15.15,38.92,63.89,6.0,2019,27.035,8,2021,5.226176688770354,185.08
4,Abidjan,Hévéa,2021-09-22,360.15,185.08,15.15,38.92,63.89,6.0,2019,27.035,9,2021,5.226176688770354,185.08
4,Abidjan,Hévéa,2022-02-08,22.92,185.08,15.15,38.92,63.89,6.0,2019,27.035,2,2022,5.226176688770354,185.08
4,Abidjan,Hévéa,2022-03-14,420.78,185.08,15.15,38.92,63.89,6.0,2019,27.035,3,2022,5.226176688770354,185.08
4,Abidjan,Hévéa,2023-06-13,342.01,185.08,15.15,38.92,63.89,6.0,2019,27.035,6,2023,5.226176688770354,185.08
4,Abidjan,Hévéa,2023-06-29,101.39,185.08,15.15,38.92,63.89,6.0,2019,27.035,6,2023,5.226176688770354,185.08
5,Abidjan,Anacardier,2019-08-21,309.2,167.26,15.26,25.36,77.6,5.79,2019,20.31,8,2019,5.125510402122668,167.26
5,Abidjan,Anacardier,2019-11-11,154.28,167.26,15.26,25.36,77.6,5.79,2019,20.31,11,2019,5.125510402122668,341.62
5,Abidjan,Anacardier,2020-01-08,198.11,167.26,15.26,25.36,77.6,5.79,2019,20.31,1,2020,5.125510402122668,341.62
5,Abidjan,Anacardier,2023-07-03,318.18,167.26,15.26,25.36,77.6,5.79,2019,20.31,7,2023,5.125510402122668,167.26
6,Abidjan,Goyave,2021-01-15,194.87,353.24,15.32,39.04,88.22,2.18,2019,27.18,1,2021,5.869974649520272,353.24
6,Abidjan,Goyave,2021-05-21,19.66,353.24,15.32,39.04,88.22,2.18,2019,27.18,5,2021,5.869974649520272,353.24
6,Abidjan,Goyave,2021-11-01,157.68,353.24,15.32,39.04,88.22,2.18,2019,27.18,11,2021,5.869974649520272,353.24
6,Abidjan,Goyave,2022-05-24,326.5,353.24,15.32,39.04,88.22,2.18,2019,27.18,5,2022,5.869974649520272,353.24
6,Abidjan,Goyave,2022-09-13,127.67,353.24,15.32,39.04,88.22,2.18,2019,27.18,9,2022,5.869974649520272,353.24
6,Abidjan,Goyave,2023-05-03,464.03,353.24,15.32,39.04,88.22,2.18,2019,27.18,5,2023,5.869974649520272,353.24
6,Abidjan,Goyave,2024-02-15,131.2,353.24,15.32,39.04,88.22,2.18,2019,27.18,2,2024,5.869974649520272,353.24
7,Abidjan,Papaye,2020-08-02,469.79,231.34,24.81,32.25,67.8,5.07,2019,28.53,8,2020,5.448201816085329,231.34
7,Abidjan,Papaye,2020-09-14,54.24,231.34,24.81,32.25,67.8,5.07,2019,28.53,9,2020,5.448201816085329,231.34
7,Abidjan,Papaye,2021-03-30,376.65,231.34,24.81,32.25,67.8,5.07,2019,28.53,3,2021,5.448201816085329,231.34
8,Abidjan,Cocotier,2021-08-19,417.0,333.77,15.96,34.36,83.45,4.15,2019,25.16,8,2021,5.813443728865719,333.77
8,Abidjan,Cocotier,2022-10-02,355.0,333.77,15.96,34.36,83.45,4.15,2019,25.16,10,2022,5.813443728865719,333.77
8,Abidjan,Cocotier,2022-10-21,128.78,333.77,15.96,34.36,83.45,4.15,2019,25.16,10,2022,5.813443728865719,333.77
8,Abidjan,Cocotier,2024-01-27,94.44,333.77,15.96,34.36,83.45,4.15,2019,25.16,1,2024,5.813443728865719,333.77
8,Abidjan,Cocotier,2024-11-17,51.23,333.77,15.96,34.36,83.45,4.15,2019,25.16,11,2024,5.813443728865719,333.77
9,Abidjan,Teck,2020-01-21,437.02,341.62,19.97,34.27,75.17,2.71,2019,27.12,1,2020,5.8366219613023125,341.62
9,Abidjan,Teck,2020-02-09,309.81,341.62,19.97,34.27,75.17,2.71,2019,27.12,2,2020,5.8366219613023125,341.62
9,Abidjan,Teck,2020-03-25,261.97,341.62,19.97,34.27,75.17,2.71,2019,27.12,3,2020,5.8366219613023125,341.62
9,Abidjan,Teck,2022-11-12,493.57,341.62,19.97,34.27,75.17,2.71,2019,27.12,11,2022,5.8366219613023125,341.62
9,Abidjan,Teck,2024-03-06,286.92,341.62,19.97,34.27,75.17,2.71,2019,27.12,3,2024,5.8366219613023125,341.62
10,Abidjan,Acajou,2019-03-28,143.35,354.66,16.67,36.71,77.1,3.41,2019,26.69,3,2019,5.873975218315515,354.66
10,Abidjan,Acajou,2021-01-04,466.74,354.66,16.67,36.71,77.1,3.41,2019,26.69,1,2021,5.873975218315515,354.66
10,Abidjan,Acajou,2021-06-26,139.95,354.66,16.67,36.71,77.1,3.41,2019,26.69,6,2021,5.873975218315515,354.66
10,Abidjan,Acajou,2022-02-05,194.7,354.66,16.67,36.71,77.1,3.41,2019,26.69,2,2022,5.873975218315515,354.66
10,Abidjan,Acajou,2022-10-17,97.49,354.66,16.67,36.71,77.1,3.41,2019,26.69,10,2022,5.873975218315515,354.66
10,Abidjan,Acajou,2023-01-20,64.21,354.66,16.67,36.71,77.1,3.41,2019,26.69,1,2023,5.873975218315515,354.66
10,Abidjan,Acajou,2023-06-15,299.24,354.66,16.67,36.71,77.1,3.41,2019,26.69,6,2023,5.873975218315515,354.66
10,Abidjan,Acajou,2023-11-04,313.84,354.66,16.67,36.71,77.1,3.41,2019,26.69,11,2023,5.873975218315515,354.66
11,Abidjan,Iroko,2020-01-20,272.69,247.11,23.28,30.03,74.03,6.0,2019,26.655,1,2020,5.513872196213571,247.11
11,Abidjan,Iroko,2020-03-05,132.62,247.11,23.28,30.03,74.03,6.0,2019,26.655,3,2020,5.513872196213571,247.11
11,Abidjan,Iroko,2021-08-10,129.55,247.11,23.28,30.03,74.03,6.0,2019,26.655,8,2021,5.513872196213571,247.11
11,Abidjan,Iroko,2022-06-07,78.35,247.11,23.28,30.03,74.03,6.0,2019,26.655,6,2022,5.513872196213571,247.11
11,Abidjan,Iroko,2023-08-03,366.81,247.11,23.28,30.03,74.03,6.0,2019,26.655,8,2023,5.513872196213571,247.11
11,Abidjan,Iroko,2024-06-30,419.12,247.11,23.28,30.03,74.03,6.0,2019,26.655,6,2024,5.513872196213571,247.11
12,Abidjan,Samba,2020-02-27,496.55,176.68,20.84,26.17,66.65,8.52,2019,23.505000000000003,2,2020,5.179984179586172,176.68
12,Abidjan,Samba,2020-04-15,376.33,176.68,20.84,26.17,66.65,8.52,2019,23.505000000000003,4,2020,5.179984179586172,176.68
12,Abidjan,Samba,2020-04-28,475.27,176.68,20.84,26.17,66.65,8.52,2019,23.505000000000003,4,2020,5.179984179586172,176.68
12,Abidjan,Samba,2022-02-26,458.01,176.68,20.84,26.17,66.65,8.52,2019,23.505000000000003,2,2022,5.179984179586172,176.68
12,Abidjan,Samba,2022-03-29,281.39,176.68,20.84,26.17,66.65,8.52,2019,23.505000000000003,3,2022,5.179984179586172,176.68
12,Abidjan,Samba,2023-09-28,335.13,176.68,20.84,26.17,66.65,8.52,2019,23.505000000000003,9,2023,5.179984179586172,176.68
13,Abidjan,Eucalyptus,2019-08-02,46.53,395.02,18.05,26.21,82.51,3.57,2019,22.130000000000003,8,2019,5.981464715029649,395.02
13,Abidjan,Eucalyptus,2023-06-18,399.68,395.02,18.05,26.21,82.51,3.57,2019,22.130000000000003,6,2023,5.981464715029649,395.02
13,Abidjan,Eucalyptus,2024-05-10,57.94,395.02,18.05,26.21,82.51,3.57,2019,22.130000000000003,5,2024,5.981464715029649,395.02
14,Bas-Sassandra,Cacao,2021-01-08,136.39,3.83,17.19,25.55,95.13,3.13,2019,21.37,1,2021,1.5748464676644813,3.83
14,Bas-Sassandra,Cacao,2021-03-10,292.38,3.83,17.19,25.55,95.13,3.13,2019,21.37,3,2021,1.5748464676644813,3.83
14,Bas-Sassandra,Cacao,2021-05-17,86.07,3.83,17.19,25.55,95.13,3.13,2019,21.37,5,2021,1.5748464676644813,3.83
14,Bas-Sassandra,Cacao,2022-06-29,254.2,3.83,17.19,25.55,95.13,3.13,2019,21.37,6,2022,1.5748464676644813,3.83
14,Bas-Sassandra,Cacao,2023-09-02,461.23,3.83,17.19,25.55,95.13,3.13,2019,21.37,9,2023,1.5748464676644813,351.005
14,Bas-Sassandra,Cacao,2024-05-31,35.39,3.83,17.19,25.55,95.13,3.13,2019,21.37,5,2024,1.5748464676644813,3.83
15,Bas-Sassandra,Café,2019-08-10,413.07,347.81,15.03,34.29,72.37,8.89,2019,24.66,8,2019,5.854527361348627,347.81
15,Bas-Sassandra,Café,2020-08-07,86.65,347.81,15.03,34.29,72.37,8.89,2019,24.66,8,2020,5.854527361348627,347.81
15,Bas-Sassandra,Café,2021-07-31,447.41,347.81,15.03,34.29,72.37,8.89,2019,24.66,7,2021,5.854527361348627,347.81
15,Bas-Sassandra,Café,2022-06-20,277.89,347.81,15.03,34.29,72.37,8.89,2019,24.66,6,2022,5.854527361348627,347.81
15,Bas-Sassandra,Café,2023-08-09,192.92,347.81,15.03,34.29,72.37,8.89,2019,24.66,8,2023,5.854527361348627,347.81
15,Bas-Sassandra,Café,2023-08-30,390.01,347.81,15.03,34.29,72.37,8.89,2019,24.66,8,2023,5.854527361348627,347.81
16,Bas-Sassandra,Palmier à huile,2019-02-24,411.36,150.69,22.48,32.54,89.3,3.99,2019,27.509999999999998,2,2019,5.021838964603581,150.69
16,Bas-Sassandra,Palmier à huile,2019-10-04,102.18,150.69,22.48,32.54,89.3,3.99,2019,27.509999999999998,10,2019,5.021838964603581,150.69
16,Bas-Sassandra,Palmier à huile,2020-06-23,475.8,150.69,22.48,32.54,89.3,3.99,2019,27.509999999999998,6,2020,5.021838964603581,150.69
16,Bas-Sassandra,Palmier à huile,2020-11-25,390.8,150.69,22.48,32.54,89.3,3.99,2019,27.509999999999998,11,2020,5.021838964603581,150.69
16,Bas-Sassandra,Palmier à huile,2021-05-09,486.17,150.69,22.48,32.54,89.3,3.99,2019,27.509999999999998,5,2021,5.021838964603581,150.69
16,Bas-Sassandra,Palmier à huile,2021-10-31,282.83,150.69,22.48,32.54,89.3,3.99,2019,27.509999999999998,10,2021,5.021838964603581,150.69
16,Bas-Sassandra,Palmier à huile,2022-07-29,72.26,150.69,22.48,32.54,89.3,3.99,2019,27.509999999999998,7,2022,5.021838964603581,150.69
17,Bas-Sassandra,Hévéa,2019-02-24,474.17,373.72,19.74,25.87,72.93,8.63,2019,22.805,2,2019,5.926179080409352,373.72
17,Bas-Sassandra,Hévéa,2020-03-23,175.62,373.72,19.74,25.87,72.93,8.63,2019,22.805,3,2020,5.926179080409352,373.72
17,Bas-Sassandra,Hévéa,2021-02-21,166.3,373.72,19.74,25.87,72.93,8.63,2019,22.805,2,2021,5.926179080409352,373.72
17,Bas-Sassandra,Hévéa,2021-12-14,55.9,373.72,19.74,25.87,72.93,8.63,2019,22.805,12,2021,5.926179080409352,373.72
17,Bas-Sassandra,Hévéa,2022-03-09,434.37,373.72,19.74,25.87,72.93,8.63,2019,22.805,3,2022,5.926179080409352,373.72
17,Bas-Sassandra,Hévéa,2022-10-19,349.03,373.72,19.74,25.87,72.93,8.63,2019,22.805,10,2022,5.926179080409352,373.72
17,Bas-Sassandra,Hévéa,2023-11-03,238.14,373.72,19.74,25.87,72.93,8.63,2019,22.805,11,2023,5.926179080409352,373.72
17,Bas-Sassandra,Hévéa,2024-01-20,276.34,373.72,19.74,25.87,72.93,8.63,2019,22.805,1,2024,5.926179080409352,373.72
17,Bas-Sassandra,Hévéa,2024-04-26,454.71,373.72,19.74,25.87,72.93,8.63,2019,22.805,4,2024,5.926179080409352,373.72
18,Bas-Sassandra,Anacardier,2019-06-05,19.01,342.78,19.3,28.01,96.61,4.7,2019,23.655,6,2019,5.840001917900011,342.78
18,Bas-Sassandra,Anacardier,2019-12-05,59.38,342.78,19.3,28.01,96.61,4.7,2019,23.655,12,2019,5.840001917900011,342.78
18,Bas-Sassandra,Anacardier,2020-03-06,354.22,342.78,19.3,28.01,96.61,4.7,2019,23.655,3,2020,5.840001917900011,342.78
18,Bas-Sassandra,Anacardier,2020-07-24,180.01,342.78,19.3,28.01,96.61,4.7,2019,23.655,7,2020,5.840001917900011,342.78
